Category,Section,Name,Location,Cuisine,Price,Season,Website,Reserve,Description
Outdoor Dining,💧 Waterfront,Cherry Street Pier,121 North Columbus Blvd,Bar & Pop-Ups,$,,https://www.cherrystreetpier.com,,"Open-air riverfront space with Ben Franklin Bridge views, a pop-up bar, artist galleries, art installations, and craft markets. Seating is first-come, first-served."
Outdoor Dining,💧 Waterfront,Spruce Street Harbor Park,301 South Columbus Blvd,Bar & Live Music,$$,Seasonal · Summer,https://www.delawareriverwaterfront.com/places/spruce-street-harbor-park,,"The waterfront classic with the floating Lazy Hammock bar, reservable hammock lounges, a 16-ft video wall, and a full summer concert lineup."
Outdoor Dining,💧 Waterfront,Morgan's Pier,221 North Columbus Blvd,Bar & Brunch,$$,Seasonal · Spring–Summer,https://www.morganspier.com,,"Seasonal Delaware River hotspot with DJs, specialty cocktails, several outdoor bars, family-friendly weekend brunch, and monthly Yappy Hours."
Outdoor Dining,💧 Waterfront,Liberty Point,211 South Columbus Blvd,American,$$,,https://www.libertypointhospitality.com,,"Massive outdoor restaurant at the Independence Seaport Museum — three levels, five bars, panoramic waterfront views, and live entertainment."
Outdoor Dining,💧 Waterfront,Fringe Bar,140 North Columbus Blvd,Bar & Pizza (Weekends),$,,https://fringearts.com/visit/fringe-bar,,"FringeArts’ outdoor beer garden — a calmer waterfront option with weekend Pumphouse Pizza, brunch, and Ben Franklin Bridge views."
Outdoor Dining,🌸 Patios & Courtyards,Southwark,"701 South 4th St, Queen Village",American,$$$,,https://www.southwarkrestaurant.com,https://resy.com/cities/phi/southwark,A hidden-gem Queen Village courtyard adorned with flowers and herbs — many of which end up in the menu.
Outdoor Dining,🌸 Patios & Courtyards,Caletta,"1401 East Susquehanna Ave, Fishtown",Italian Cocktail Lounge,$$$,,https://calettaphilly.com,,"Poolside patio at Fishtown’s boutique hotel Anna & Bel. Go for aperitivo hour (Wed–Fri, 4–7pm) when every drink comes with a snack."
Outdoor Dining,🌸 Patios & Courtyards,Royal Boucherie,"52 South 2nd St, Old City",French,$$$,,https://www.royalboucherie.com,https://resy.com/cities/phi/royal-boucherie,A hidden upstairs terrace in Old City that doesn’t feel like Philadelphia — oysters and rosé that feel like a mini vacation.
Outdoor Dining,🌸 Patios & Courtyards,El Chingon Fishtown,"1431 Frankford Ave, Fishtown",Mexican,$$,,https://www.elchingonphilly.com,https://resy.com/cities/phi/el-chingon-fishtown,"The casual, summery Fishtown offshoot of chef Carlos Aparicio’s award-winning spot, with an outdoor “Jardin de Agave” and its own bar."
Outdoor Dining,🌸 Patios & Courtyards,Wm. Mulherin's Sons,"1355 North Front St, Fishtown",Italian & Wood-Fired Pizza,$$$,,https://www.wmmulherinssons.com,https://resy.com/cities/phi/wm-mulherin-s-sons,"A dreamy outdoor dining spot with plants, twinkle lights, and picnic tables, serving spritzes and wood-fired pizzas."
Outdoor Dining,🌸 Patios & Courtyards,Front Street Cafe,"1253 North Front St, Fishtown",All-Day Cafe,$$,,https://www.frontstreetcafe.net,,Fishtown’s all-day cafe with a tucked-away back garden and an outdoor bar — perfect for day-drinking.
Outdoor Dining,🌸 Patios & Courtyards,Suraya,"1528 Frankford Ave, Fishtown",Lebanese,$$$,,https://surayaphilly.com,https://resy.com/cities/phi/suraya,"A beautiful 5,000-sq-ft Levantine courtyard framed by Persian ironwood trees, with its own bar so the cocktails keep flowing."
Outdoor Dining,🌸 Patios & Courtyards,Sor Ynéz,"1800 North American St, Kensington",Mexican,$$,,https://www.sorynezmexicankitchen.com,https://www.exploretock.com/sorynez,Laidback Kensington Mexican spot with a cute enclosed patio and a working garden that flavors the dishes. Bonus: lots of free parking.
Outdoor Dining,🌸 Patios & Courtyards,Le Virtù,1927 East Passyunk Ave,Italian (Abruzzo),$$$,,https://www.levirtu.com,https://resy.com/cities/phi/le-virtu,"Elegant East Passyunk Abruzzese spot with an ample, partially covered patio, homemade pastas, an antipasti board, and an olive-oil martini."
Outdoor Dining,🌸 Patios & Courtyards,Osteria,640 North Broad St,Italian,$$$,,https://www.osteriaphilly.com,https://resy.com/cities/phi/osteria,"Beyond the glass-enclosed patio is a dreamy pergola — graze on antipasti, sip something light, and catch the great weekend happy hour."
Outdoor Dining,🌸 Patios & Courtyards,American Sardine Bar,"1800 Federal St, Point Breeze",Bar & Small Plates,$$,,https://www.americansardinebar.com,,"Point Breeze stalwart with a string-lit lot next door — lawn chairs, beer, tinned-fish samplers, and salt-and-pepper fries."
Outdoor Dining,🌸 Patios & Courtyards,Talula's Garden,210 West Washington Square,Farm-to-Table,$$$,,https://www.talulasgarden.com,https://resy.com/cities/phi/talulas-garden,Washington Square farm-to-table spot beloved for its cheese plate and extra-fresh everything. The rustically planted courtyard seats are coveted.
Outdoor Dining,🌸 Patios & Courtyards,Parc,"227 South 18th St, Rittenhouse",French Brasserie,$$$,,https://www.parc-restaurant.com,https://www.opentable.com/parc-restaurant,The quintessential Rittenhouse Square sidewalk brasserie. Order a seafood tower and a spritz and get your people-watching on.
Outdoor Dining,🌸 Patios & Courtyards,Harper's Garden,"31 South 18th St, Rittenhouse",Bar & Cocktails,$$,,https://www.harpersgardenphilly.com,,Edison-bulb string lights and lush greenery make this open-air veranda a lovely spot for a spritz or frosé after work.
Outdoor Dining,🌸 Patios & Courtyards,Booker's Restaurant & Bar,"5021 Baltimore Ave, West Philly",Southern American,$$,,https://www.bookersrestaurant.com,https://www.opentable.com/bookers-restaurant-and-bar,"West Philly comfort, brunch, and happy hour — Southern favorites like fried chicken and waffles under a plant-filled Baltimore Ave pergola."
